Classifique e extraia dados dos itens abaixo. Sao produtos de lojas de vinho — podem ser vinhos, destilados, cervejas, acessorios, agua, etc.

Exemplos do nosso banco (para referencia de formato):
  produtor: "chateau levangile"  vinho: "pomerol"
  produtor: "campo viejo"  vinho: "reserva rioja"
  produtor: "penfolds"  vinho: "grange shiraz"
  produtor: "pizzato"  vinho: "fausto brut branco"
  produtor: "inniskillin"  vinho: "riesling icewine"
  produtor: "chateau montrose"  vinho: "montrose"
  produtor: "quinta do noval"  vinho: "noval"
  produtor: "gaja"  vinho: "gaia & rey chardonnay"
  produtor: "michele chiarlo"  vinho: "nivole moscato d'asti"
  produtor: "felton road"  vinho: "block 3 pinot noir"

TODOS os itens. Uma linha por item. Sem markdown. Sem explicacoes.

Formato:
1. X
2. S
3. W|Produtor|Vinho|Pais|Cor|Uva|Regiao|SubRegiao|Safra|ABV|Classificacao|Corpo|Harmonizacao|Docura
4. W|Produtor|Vinho|Pais|Cor|Uva|Regiao|SubRegiao|Safra|ABV|Classificacao|Corpo|Harmonizacao|Docura|=3

Campos:
- Produtor = vinicola/bodega/domaine/chateau, minusculo, sem acento. O produtor e quem FAZ o vinho, nao o nome do vinho.
  Ex: gaja (nao "gaia & rey"), michele chiarlo (nao "nivole"), felton road (nao "block 3"), castello di ama (nao "ama"), banfi (nao "fonte alla selva")
- Vinho = nome do vinho SEM o produtor, minusculo, sem acento.
  NUNCA deixe ?? se o nome e derivavel do input.
  Se produtor e vinho sao o mesmo nome, repita sem prefixo:
    "chateau montrose" → produtor: chateau montrose, vinho: montrose
    "quinta do noval" → produtor: quinta do noval, vinho: noval
    "dom perignon" → produtor: dom perignon, vinho: dom perignon
  Se o input so tem produtor+uva:
    "larentis malbec" → produtor: larentis, vinho: malbec
  Se o input tem produtor+linha+uva:
    "norton barrel select malbec" → produtor: norton, vinho: barrel select malbec
- Pais = 2 letras (fr, it, ar, us, au, br, ca, es, cl, pt, de, za, nz, at, hu, gr, hr, gb, jp, etc). ?? se nao sabe
- Cor: r=tinto w=branco p=rose s=espumante f=fortificado d=sobremesa
- Uva = uva(s) principal(is). Ex: malbec, cabernet sauvignon, chardonnay. Para blends listar as 2-3 principais: merlot, cabernet franc. ?? se nao sabe
- Regiao = regiao vinicola. Ex: bordeaux, mendoza, okanagan valley, serra gaucha. ?? se nao sabe
- SubRegiao = sub-regiao especifica. Ex: pauillac, saint-estephe, lujan de cuyo, golden mile bench. ?? se nao sabe
- Safra = ano (ex: 2019, 2020). NV se sem safra. ?? se nao sabe
- ABV = teor alcoolico estimado em %. Estimar pelo estilo se nao souber o valor exato (champagne ~12, bordeaux ~13.5, amarone ~15, porto ~20, riesling alemao ~10). ?? so se nao tem como estimar
- Classificacao = DOC, DOCG, AOC, DO, DOCa, DOQ, DOP, IGT, IGP, AVA, VDP, Grand Cru, 1er Grand Cru Classe, 2eme Grand Cru Classe, 3eme Grand Cru Classe, Cru Bourgeois, Grand Cru Classe, Reserva, Gran Reserva, Icewine, etc. ?? se nao tem
- Corpo = leve, medio, encorpado. ?? se nao sabe
- Harmonizacao = 1-3 pratos (ex: carne vermelha, queijo, frutos do mar). ?? se nao sabe
- Docura = seco, demi-sec, doce, brut, extra brut, brut nature. ?? se nao sabe
- X = NAO e vinho (cerveja, seltzer, cooler, sidra, agua, acessorio, caixa, gift basket, UI de site, desconto, roupa, comida)
- S = destilado (whisky, gin, rum, vodka, tequila, grappa, cachaca, brandy, calvados, pisco, soju, baijiu, shochu)
- W = vinho. Inclui: espumante, champagne, cava, prosecco, cremant, pet-nat, fortificado (sherry, porto, madeira, marsala, manzanilla, jerez fino, oloroso, amontillado), sobremesa, icewine, sake, yakju, huangjiu
- NAO invente dados. Se nao sabe, use ??.

FORTIFICADOS — ATENCAO:
Sherry, porto, madeira, marsala, manzanilla, fino, oloroso, amontillado, palo cortado = W (cor f)
Exemplos:
  "manzanilla en rama" → W|??|manzanilla en rama|es|f|palomino|andalucia|sanlucar de barrameda|...
  "porto tawny 10 years" → W|??|tawny 10 years|pt|f|??|douro|...|doce
  "marsala rubino" → W|pellegrino|rubino marsala|it|f|??|sicily|...|doce
NAO classificar fortificados como S. Calvados, brandy, grappa = S.

DUPLICATAS — IMPORTANTE:
=M significa que o item e o MESMO vinho do item M (duplicata).
Marque =M mesmo se o nome estiver escrito diferente.
Exemplos de duplicata:
  "2016 chateau montrose" e "chateau montrose 2016" → mesmo vinho, marcar =M
  "larentis malbec preco" e "larentis malbec" → mesmo vinho, "preco" e lixo do site
  "peller cabernet sauvignon" e "peller estates cabernet sauvignon" → mesmo produtor e vinho
Exemplos que NAO sao duplicata:
  "larentis malbec" e "larentis merlot" → uvas diferentes = vinhos diferentes
  "chateau montrose 2016" e "chateau montrose 2014" → safras diferentes = vinhos diferentes
ATENCAO: mesmo produtor com uvas diferentes NAO e duplicata.

1. antinori tignanello
2. antinori tignanello
3. antinori tignanello
4. antinori tignanello
5. antinori tignanello
6. antinori tignanello
7. antinori tignanello 08
8. antinori tignanello 145
9. antinori tignanello 1975
10. antinori tignanello 1977
11. antinori tignanello 1978
12. antinori tignanello 1978
13. antinori tignanello 1978
14. antinori tignanello 1979
15. antinori tignanello 1980
16. antinori tignanello 1982
17. antinori tignanello 1982
18. antinori tignanello 1983
19. antinori tignanello 1983
20. antinori tignanello 1985
21. antinori tignanello 1985
22. antinori tignanello 1986
23. antinori tignanello 1987
24. antinori tignanello 1987
25. antinori tignanello 1987
26. antinori tignanello 1988
27. antinori tignanello 1988
28. antinori tignanello 1988 double
29. antinori tignanello 1989
30. antinori tignanello 1990
31. antinori tignanello 1990
32. antinori tignanello 1994
33. antinori tignanello 1997
34. antinori tignanello 1997
35. antinori tignanello 1998
36. antinori tignanello 1998
37. antinori tignanello 2000
38. antinori tignanello 2000
39. antinori tignanello 2001
40. antinori tignanello 2001
41. antinori tignanello 2003
42. antinori tignanello 2004
43. antinori tignanello 2005
44. antinori tignanello 2005
45. antinori tignanello 2005
46. antinori tignanello 2006
47. antinori tignanello 2006
48. antinori tignanello 2006
49. antinori tignanello 2006
50. antinori tignanello 2006
51. antinori tignanello 2007
52. antinori tignanello 2007
53. antinori tignanello 2007
54. antinori tignanello 2007
55. antinori tignanello 2007
56. antinori tignanello 2008
57. antinori tignanello 2008
58. antinori tignanello 2008
59. antinori tignanello 2008
60. antinori tignanello 2008
61. antinori tignanello 2008 jeroboam italy
62. antinori tignanello 2009
63. antinori tignanello 2009
64. antinori tignanello 2010
65. antinori tignanello 2010
66. antinori tignanello 2010
67. antinori tignanello 2010
68. antinori tignanello 2010
69. antinori tignanello 2011
70. antinori tignanello 2011
71. antinori tignanello 2011
72. antinori tignanello 2011
73. antinori tignanello 2011
74. antinori tignanello 2011
75. antinori tignanello 2012
76. antinori tignanello 2012
77. antinori tignanello 2013
78. antinori tignanello 2013
79. antinori tignanello 2013
80. antinori tignanello 2014
81. antinori tignanello 2015
82. antinori tignanello 2015
83. antinori tignanello 2015
84. antinori tignanello 2015
85. antinori tignanello 2016
86. antinori tignanello 2016
87. antinori tignanello 2016
88. antinori tignanello 2016
89. antinori tignanello 2016
90. antinori tignanello 2016
91. antinori tignanello 2017
92. antinori tignanello 2017
93. antinori tignanello 2017
94. antinori tignanello 2017
95. antinori tignanello 2017
96. antinori tignanello 2017
97. antinori tignanello 2018
98. antinori tignanello 2018
99. antinori tignanello 2018
100. antinori tignanello 2018
101. antinori tignanello 2018
102. antinori tignanello 2018
103. antinori tignanello 2018
104. antinori tignanello 2018
105. antinori tignanello 2018
106. antinori tignanello 2018
107. antinori tignanello 2018 igt toscana
108. antinori tignanello 2018 igt toscana
109. antinori tignanello 2018 igt toscana
110. antinori tignanello 2018 igt toscana
111. antinori tignanello 2018 jeroboam italy
112. antinori tignanello 2019
113. antinori tignanello 2019
114. antinori tignanello 2019
115. antinori tignanello 2019
116. antinori tignanello 2019
117. antinori tignanello 2019
118. antinori tignanello 2019
119. antinori tignanello 2019
120. antinori tignanello 2019
121. antinori tignanello 2019
122. antinori tignanello 2019
123. antinori tignanello 2019
124. antinori tignanello 2019
125. antinori tignanello 2019
126. antinori tignanello 2019
127. antinori tignanello 2019
128. antinori tignanello 2020
129. antinori tignanello 2020
130. antinori tignanello 2020
131. antinori tignanello 2020
132. antinori tignanello 2020
133. antinori tignanello 2020
134. antinori tignanello 2020
135. antinori tignanello 2020
136. antinori tignanello 2020
137. antinori tignanello 2020
138. antinori tignanello 2020
139. antinori tignanello 2020
140. antinori tignanello 2020
141. antinori tignanello 2020
142. antinori tignanello 2020
143. antinori tignanello 2020
144. antinori tignanello 2020
145. antinori tignanello 2020
146. antinori tignanello 2020
147. antinori tignanello 2020
148. antinori tignanello 2021
149. antinori tignanello 2021
150. antinori tignanello 2021
151. antinori tignanello 2021
152. antinori tignanello 2021
153. antinori tignanello 2021
154. antinori tignanello 2021
155. antinori tignanello 2021
156. antinori tignanello 2021
157. antinori tignanello 2021
158. antinori tignanello 2021
159. antinori tignanello 2021
160. antinori tignanello 2021
161. antinori tignanello 2021
162. antinori tignanello 2021
163. antinori tignanello 2021
164. antinori tignanello 2021
165. antinori tignanello 2021
166. antinori tignanello 2021
167. antinori tignanello 2021
168. antinori tignanello 2021
169. antinori tignanello 2021
170. antinori tignanello 2021
171. antinori tignanello 2021
172. antinori tignanello 2021
173. antinori tignanello 2021
174. antinori tignanello 2021
175. antinori tignanello 2021
176. antinori tignanello 2021
177. antinori tignanello 2021 half bottle
178. antinori tignanello 2021 magnum cassa legno
179. antinori tignanello 2021 occ
180. antinori tignanello 2022
181. antinori tignanello 2022
182. antinori tignanello 2022
183. antinori tignanello 2022
184. antinori tignanello 2022
185. antinori tignanello 2022
186. antinori tignanello 2022
187. antinori tignanello 2022
188. antinori tignanello 2022
189. antinori tignanello 2022
190. antinori tignanello 2022
191. antinori tignanello 2022
192. antinori tignanello 2022
193. antinori tignanello 2022
194. antinori tignanello 2022
