source_wine_id,canonical_wine_id,lane,confidence,review_state,recommended_action,score,gap,source_stratum,source_nome,source_produtor,source_safra,source_tipo,canonical_nome,canonical_produtor,canonical_safra,canonical_tipo,channels,evidence_reason,source_wine_sources_count,source_stores_count,y2_status_set,y2_match_score_max,y2_any_not_wine_or_spirit,qa_required,qa_sample_rate,qa_verdict,qa_notes,reviewer
1757746,61703,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7350,0.7350,S2_NO_SOURCE,"2020 Rocca di Montegrossi, Chianti Classico Gran Selezione “San Marcellino”",Rocca,,tinto,vigneto san marcellino chianti classico gran selezione,rocca di montegrossi,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1169877),google_codex_auto
1757941,189959,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.1300,S2_NO_SOURCE,"Chateau Plaisance Penavayre, Fronton Rouge","Chateau Plaisance Penavayre, Fronton",,tinto,fronton rouge,chateau plaisance,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1585483),google_codex_auto
1758373,299143,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.1300,S2_NO_SOURCE,"Domaine du Penlois, Chardonnay du Chatelard","Domaine du Penlois,",,branco,chardonnay du chatelard beaujolais,domaine du penlois,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1938871|2443358),google_codex_auto
1758521,1093475,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6833,0.6833,S2_NO_SOURCE,"Domaine Les Gryphées (Pierre Durdilly), Morgon",Domaine Les Gryphées (Pierre,,tinto,morgon,domaine les gryphees,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 7421220),google_codex_auto
1758547,212395,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5611,0.5611,S2_NO_SOURCE,"2022 Domaine René Rostaing, Puech Noble Rouge ""Le Vassal""","Domaine René Rostaing, Puech",,tinto,vassal de puech noble coteaux du languedoc,domaine rostaing,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,,"Google INCONCLUSIVO: Mesmo produtor, mas buscas trazem ids Vivino diferentes",
1758944,1070114,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.1083,S2_NO_SOURCE,"Jérémie Huchet, “La Bretesche” Brut Nature","Jérémie Huchet, “La",,espumante,la bretesche brut nature,jeremie huchet,,espumante,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 7303030),google_codex_auto
1759126,9132,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7061,0.7061,S2_NO_SOURCE,"Domaine Lucien Crochet, Pinot Noir, Sancerre Rouge, La Croix du Roy","Domaine Lucien Crochet,",,tinto,la croix du roy sancerre rouge,lucien crochet,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 16668),google_codex_auto
1759179,212404,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8850,0.1300,S2_NO_SOURCE,"Domaine Gaston & Pierre Ravaut, Corton Grand Cru “Les Hautes Mourottes”",Domaine Gaston & Pierre,,tinto,corton grand cru hautes mourottes,domaine gaston pierre ravaut,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1661738),google_codex_auto
1759228,133775,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.7200,S2_NO_SOURCE,"Château Redortier, Red Blend, “Monsieur Le Comte,” Beaumes-de-Venise","Château Redortier, Red Blend,",,tinto,monsieur le comte beaumes de venise,chateau redortier,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1383918),google_codex_auto
1759392,319363,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6325,0.6325,S2_NO_SOURCE,"Weingut Leth, Steinagrund, Grüner Veltliner","Weingut Leth, Steinagrund, Grüner",,branco,gruner veltliner ried steinagrund,leth,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 2005793),google_codex_auto
1759608,202555,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6976,0.6976,S2_NO_SOURCE,"Bret Brothers, Vire Clesse, Climat - La Verchere","Bret Brothers, Vire",,branco,climat la verchere vireclesse,bret brothers,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1629639),google_codex_auto
1759976,519594,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6667,0.6667,S2_NO_SOURCE,"Luis Anxo Rodríguez Vásquez, Ribeiro “A Teixa”",Luis Anxo Rodríguez,,branco,a teixa ribeiro,luis a rodriguez vazquez,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 2756688),google_codex_auto
1760119,95963,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.7200,S2_NO_SOURCE,"Domaine Duseigneur, “Minha Terra” Syrah","Domaine Duseigneur, “Minha Terra”",,tinto,minha terra,domaine duseigneur,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1234129),google_codex_auto
1791500,1324167,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6000,0.6000,S2_NO_SOURCE,Erdener Prälat Versteigerungswein,Erdener Prälat Versteigerungswein,,branco,erdener treppchen riesling auslese trokcen,weingut pralat,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,,Google INCONCLUSIVO: Busca source ficou ambigua e sem link Vivino claro; canonical aponta Weingut Prälat,
1792512,577836,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7333,0.7333,S2_NO_SOURCE,Fabio Gea Langhe Rosso Notu l'Albera,Fabio Gea,,tinto,la msoira el rastel notu langhe nebbiolo,fabio gea,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 4771692|3085548|7383505|5744370|2110640),google_codex_auto
1793290,435887,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S2_NO_SOURCE,"Evesham Wood, “Illahe Vineyard” Pinot Noir","Evesham Wood, “Illahe",,tinto,illahe vineyard pinot noir,evesham wood,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 2430540),google_codex_auto
1797453,841188,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7905,0.7905,S2_NO_SOURCE,Josh Cellars North Coast Reserve 2022 Chardonnay,Josh Cellars North,,branco,reserve north coast chardonnay,josh cellars,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 5962258),google_codex_auto
1797495,615337,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5786,0.5786,S2_NO_SOURCE,Mandragora Vinos de Pueblo Tragaldabas 2015 Red,Mandragora Vinos,,tinto,tragaldabas,mandragora vinos,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 3761150),google_codex_auto
1798989,445226,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S2_NO_SOURCE,Santa Florentina Torrontés Riojano TORRONTÉS RIOJANO,Santa Florentina Torrontés,,branco,reserva torrontes riojano,santa florentina,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 2464406),google_codex_auto
1799176,522492,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7905,0.7905,S2_NO_SOURCE,"2017 Paolo Bea, Cerrete Montefalco Sagrantino Secco","Paolo Bea, Cerrete",,tinto,cerrete montefalco sagrantino secco,paolo bea,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 2774151),google_codex_auto
1799178,7065,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8187,0.8187,S2_NO_SOURCE,"2018 Domaine William Fevre, Chablis Grand Cru ""Valmur""","Domaine William Fevre, Chablis",,branco,chablis grand cru valmur,domaine william fevre,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 12866),google_codex_auto
1800544,1081189,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7571,0.1428,S2_NO_SOURCE,"Domaine Pierre Girardin, Meursault Les Grands Charrons","Domaine Pierre Girardin, Meursault",,branco,meursault les grands charrons,pierre girardin,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 7360191|1178678),google_codex_auto
1801348,459739,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5567,0.1300,S2_NO_SOURCE,Domaine Daniel Pollier - Macon Villages,Domaine Daniel Pollier -,,branco,macon villages,marieodile feerrot et daniel dyon,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,ERROR,Google CONTRADIZ: Daniel Pollier nao e Marie-Odile Feerrot et Daniel Dyon no Vivino,google_codex_auto
1803269,555619,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5583,0.5583,S2_NO_SOURCE,"Antoine Jobard, Chardonnay, Saint-Aubin 1er Cru Sur Le Sentier du Clou, Côte de Beaune, Burgundy, France 2022","Antoine Jobard, Chardonnay,",,branco,saintaubin sur le sentier du clou 1er cru,francois et antoine jobard,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 3062195),google_codex_auto
1803328,283890,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8200,0.8200,S2_NO_SOURCE,Jose Antonio Garcia JAG 'Unculin',Jose Antonio Garcia,,tinto,unculin valtuille de abajo vino de villa tinto,jose antonio garcia,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1889918),google_codex_auto
1803590,746066,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S2_NO_SOURCE,Bad Brothers MaTaCa,Bad Brothers MaTaCa,,tinto,mataca blend,bad brothers,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 5113661),google_codex_auto
1803900,201716,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S2_NO_SOURCE,"Elio Altare, Cerretta","Elio Altare, Cerretta",,tinto,cerretta barolo riserva vigna bricco,elio altare,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1626074),google_codex_auto
1805508,16896,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6976,0.6976,S2_NO_SOURCE,Domaine Fournier Sancerre Grande Cuvee 'La Chaudouillonne',Domaine Fournier Sancerre,,branco,sancerre blanc la chaudouillonne,domaine fournier pere et fils,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 76639),google_codex_auto
1806630,1331996,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6700,0.6700,S2_NO_SOURCE,Cartoixa de Montsalvat 'Mont +' Priorat,Cartoixa,,tinto,mont,cartoixa de montsalvat,,tinto,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 9423453),google_codex_auto
1806788,1678932,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7571,0.1857,S2_NO_SOURCE,Domaine Andre Bonhomme Macon Rouge 'Vieilles Vignes',Domaine Andre Bonhomme Macon,,tinto,vieilles vignes macon rouge,andre bonhomme,,Tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 13269370),google_codex_auto
1810408,1120463,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9000,0.9000,S2_NO_SOURCE,Domaine des Malandes Envers de Valmur Chablis,Domaine des Malandes Envers,,branco,envers de valmur chablis,domaine des malandes,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 7567101),google_codex_auto
1810953,46673,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8571,0.8571,S2_NO_SOURCE,Casa Silva Gran Terroir Los Lingues Carménère,Casa Silva,,tinto,gran terroir de los andes los lingues cabernet sauvignon,casa silva,2023,tinto,token_index,strong_name_and_producer_overlap,0,0,duplicate|new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1144477),google_codex_auto
1811435,81183,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.9500,0.9500,S2_NO_SOURCE,Copper Moon Pinot Grigio,Copper Moon,,branco,moonlight harvest pinot grigio,copper moon,,branco,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 1205162),google_codex_auto
1811938,1070601,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8000,0.1300,S2_NO_SOURCE,What the Phoque Cabernet Franc,What,,tinto,cabernet franc,what the phoque,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 7304887),google_codex_auto
1813466,1481979,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7750,0.1625,S2_NO_SOURCE,Benmarco Plata Cabernet Sauvignon,Benmarco Plata,,tinto,plata cabernet sauvignon,benmarco,,Tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,CORRECT,Google CONFIRMA (shared wine ids: 10864276),google_codex_auto
