source_wine_id,canonical_wine_id,lane,confidence,review_state,recommended_action,score,gap,source_stratum,source_nome,source_produtor,source_safra,source_tipo,canonical_nome,canonical_produtor,canonical_safra,canonical_tipo,channels,evidence_reason,source_wine_sources_count,source_stores_count,y2_status_set,y2_match_score_max,y2_any_not_wine_or_spirit,qa_required,qa_sample_rate,qa_verdict,qa_notes,reviewer
1758547,212395,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5611,0.5611,S2_NO_SOURCE,"2022 Domaine René Rostaing, Puech Noble Rouge ""Le Vassal""","Domaine René Rostaing, Puech",,tinto,vassal de puech noble coteaux du languedoc,domaine rostaing,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,ERROR,,murilo
1791500,1324167,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6000,0.6000,S2_NO_SOURCE,Erdener Prälat Versteigerungswein,Erdener Prälat Versteigerungswein,,branco,erdener treppchen riesling auslese trokcen,weingut pralat,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,ERROR,,murilo
1801348,459739,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5567,0.1300,S2_NO_SOURCE,Domaine Daniel Pollier - Macon Villages,Domaine Daniel Pollier -,,branco,macon villages,marieodile feerrot et daniel dyon,,branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,ERROR,Google CONTRADIZ: Daniel Pollier nao e Marie-Odile Feerrot et Daniel Dyon no Vivino,google_codex_auto
1826190,1139782,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5250,0.5250,S2_NO_SOURCE,Martini & Rossi Asti (Docg),Martini & Rossi,,espumante,fabio rossi lambrusco emilia rosso,fratelli martini,,espumante,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,ERROR,Google CONTRADIZ: Martini & Rossi Asti DOCG nao e Fabio Rossi Lambrusco Emilia Rosso,google_codex_auto
2366637,117854,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5417,0.5417,S2_NO_SOURCE,Nebbiolo Langhe DOC - Frales - Silvano Bolmida,,,tinto,frales langhe nebbiolo,silvano bolmida,,tinto,token_index,strong_name_token_overlap>=2,0,0,new,,0,1,0.05,ERROR,,murilo
2459102,1639107,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7500,0.7500,S2_NO_SOURCE,Bergerie - François Carillon,Bergerie - François,,,la bergerie chardonnay,francois carillon,,Branco,token_index,strong_name_and_producer_overlap,0,0,new,,0,1,0.05,ERROR,,murilo
2645818,124998,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6000,0.6000,S3_NO_LINEAGE_OR_ORPHAN,Umea Garnacha Blanca,umea garnacha blanca,,tinto,garnacha old vines,cala blanca,,tinto,token_index,strong_name_and_producer_overlap,1,1,,,0,1,0.05,ERROR,,murilo
1796209,1640646,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.7200,0.7200,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Château Larrivet Haut-Brion 2015,Château Larrivet Haut-Brion,,tinto,le jardin de larrivet haut brion rouge,chateau larrivet hautbrion,,Tinto,token_index,strong_name_token_overlap>=2,1,1,duplicate|matched|new,0.4,0,1,0.05,ERROR,,murilo
1819232,221259,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8833,0.8833,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Stella Rosa Berry,Stella Rosa Berry,,tinto,rosso red berry semoisweet,stella rosa,,tinto,token_index,strong_name_and_producer_overlap,1,1,matched|new,0.2857143,0,1,0.05,ERROR,,murilo
2121218,1547291,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5611,0.5611,S4_MULTI_CLEAN_OR_AMBIG_LINEAGE,Frédéric Magnien - AOP Côte-de-Nuits-Villages - Rouge - 2015,Frédéric Magnien -,2015,tinto,clos francois thurot monopole cote de nuits villages queue de hareng,henri magnien,,Tinto,token_index,broad_name_with_strong_producer,1,1,duplicate|new,,0,1,0.05,ERROR,,murilo
1817011,1497064,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6333,0.6333,S5_SOURCE_RICH_STRUCTURED,Don David Torrontes,Don David,,branco,v2 torrontes,david rodolfo catena,,Branco,token_index,strong_name_and_producer_overlap,6,6,new,,0,1,0.05,ERROR,Google CONTRADIZ: El Esteco nao e David Rodolfo Catena no Vivino,google_codex_auto
2146043,1547137,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8500,0.8500,S5_SOURCE_RICH_STRUCTURED,GOLD FINE,GOLD FINE,,tinto,chateau m grand vin gold label red blend,massenez fine wine,,Tinto,token_index,strong_name_and_producer_overlap,3,3,new,,0,1,0.05,ERROR,,murilo
2149662,1491408,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.8500,0.2000,S5_SOURCE_RICH_STRUCTURED,"Соус GOOD LIFE Чили сладкий 0,2л",Соус GOOD LIFE,,tinto,lust for life carbonic pinot noir,good boy wine,,Tinto,token_index,strong_name_and_producer_overlap,3,1,new,,0,1,0.05,ERROR,,murilo
2200916,1056179,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.6233,0.6233,S5_SOURCE_RICH_STRUCTURED,Château Sainte-Croix Rose Prestige,Château Sainte-Croix,,rose,cuvee croix blanche rose,domaine croix sainte blanche,,rose,token_index,strong_name_and_producer_overlap,3,3,new,,0,1,0.05,ERROR,,murilo
2303028,666835,ALIAS_AUTO,HIGH,RESOLVED,ALIAS,0.5200,0.1300,S5_SOURCE_RICH_STRUCTURED,Chianti Classico Castellare – Castellare di Castellina,,,tinto,rigogolo di castellina chianti riserva,castellare,,tinto,token_index,name_and_source_to_canonical_producer,40,23,new,,0,1,0.05,ERROR,,murilo
